run,target,threshold,tp,fp,recall,precision,alert_rate
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,0,50782,23175748,1.000000,0.002186,1.000000000
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.06115362e-09,50782,23174972,1.000000,0.002186,0.999966590
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.10182628e-09,50782,23174965,1.000000,0.002186,0.999966289
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.14330154e-09,50782,23174950,1.000000,0.002186,0.999965643
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.18559523e-09,50782,23174935,1.000000,0.002186,0.999964997
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.2287235e-09,50782,23174926,1.000000,0.002186,0.999964609
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.27270282e-09,50782,23174913,1.000000,0.002186,0.999964050
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.31754998e-09,50782,23174900,1.000000,0.002186,0.999963490
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.3632821e-09,50782,23174888,1.000000,0.002186,0.999962973
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.40991666e-09,50782,23174881,1.000000,0.002186,0.999962672
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.45747145e-09,50782,23174867,1.000000,0.002186,0.999962069
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.50596465e-09,50782,23174854,1.000000,0.002186,0.999961510
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.55541475e-09,50782,23174843,1.000000,0.002186,0.999961036
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.60584065e-09,50782,23174837,1.000000,0.002186,0.999960778
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.65726161e-09,50782,23174826,1.000000,0.002186,0.999960304
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.70969725e-09,50782,23174812,1.000000,0.002186,0.999959701
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.76316761e-09,50782,23174797,1.000000,0.002186,0.999959055
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.81769309e-09,50782,23174783,1.000000,0.002186,0.999958453
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.87329452e-09,50782,23174774,1.000000,0.002186,0.999958065
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.92999313e-09,50782,23174763,1.000000,0.002186,0.999957592
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.98781058e-09,50782,23174752,1.000000,0.002186,0.999957118
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.04676893e-09,50782,23174744,1.000000,0.002186,0.999956774
d5-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.10689071e-09,50782,23174731,1.000000,0.002186,0.999956214
