run,target,threshold,tp,fp,recall,precision,alert_rate
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,0,50779,11006699,1.000000,0.004592,1.000000000
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.06115362e-09,50779,10962102,1.000000,0.004611,0.995966802
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.10182628e-09,50779,10953965,1.000000,0.004614,0.995230920
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.14330154e-09,50779,10944738,1.000000,0.004618,0.994396462
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.18559523e-09,50779,10932291,1.000000,0.004623,0.993270798
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.2287235e-09,50779,10918836,1.000000,0.004629,0.992053975
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.27270282e-09,50779,10902748,1.000000,0.004636,0.990599032
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.31754998e-09,50779,10886964,1.000000,0.004643,0.989171581
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.3632821e-09,50779,10870830,1.000000,0.004649,0.987712478
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.40991666e-09,50779,10851350,1.000000,0.004658,0.985950775
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.45747145e-09,50779,10831202,1.000000,0.004666,0.984128659
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.50596465e-09,50779,10808307,1.000000,0.004676,0.982058115
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.55541475e-09,50779,10777905,1.000000,0.004689,0.979308663
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.60584065e-09,50779,10749205,1.000000,0.004702,0.976713135
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.65726161e-09,50779,10719009,1.000000,0.004715,0.973982313
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.70969725e-09,50779,10690506,1.000000,0.004727,0.971404601
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.76316761e-09,50779,10660171,1.000000,0.004741,0.968661208
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.81769309e-09,50779,10627337,1.000000,0.004755,0.965691815
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.87329452e-09,50779,10593853,1.000000,0.004770,0.962663638
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.92999313e-09,50779,10553652,1.000000,0.004788,0.959027999
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,2.98781058e-09,50779,10510653,1.000000,0.004808,0.955139318
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.04676893e-09,50779,10468272,1.000000,0.004827,0.951306528
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.10689071e-09,50779,10421340,1.000000,0.004849,0.947062160
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.16819886e-09,50779,10373949,1.000000,0.004871,0.942776282
v2-xgboost-none,DETERMINISTIC_BURST_ORIENTEDGRAYHOLE,3.23071681e-09,50779,10325738,1.000000,0.004894,0.938416246
